东台3路,14,120.357422;32.87104;120.357193;32.856232;120.35495;32.855827;120.338463;32.851395;120.337975;32.851372;120.305611;32.851242;120.305504;32.85117;120.282883;32.835915;120.282829;32.835835;120.269928;32.823265;120.269821;32.823116;120.263962;32.812878;120.26342;32.81271;120.173752;32.79401
东台4路,12,120.341042;32.873154;120.327522;32.867897;120.326897;32.867779;120.308601;32.86459;120.308517;32.864464;120.310074;32.858307;120.310074;32.858124;120.309196;32.837841;120.30925;32.837841;120.318321;32.838951;120.318336;32.839294;120.31913;32.843147
东台5路,28,120.270988;32.914814;120.271042;32.916451;120.271805;32.916428;120.283974;32.915771;120.283974;32.915768;120.283577;32.906986;120.284393;32.907173;120.298447;32.910152;120.299141;32.906612;120.301613;32.8941;120.30172;32.894093;120.306496;32.89518;120.306602;32.894592;120.313461;32.865326;120.314774;32.865555;120.327805;32.867859;120.328461;32.868088;120.342224;32.87352;120.342812;32.87244;120.351379;32.855209;120.351532;32.855122;120.375397;32.857742;120.375526;32.857708;120.375992;32.848694;120.378532;32.848743;120.382851;32.848824;120.38298;32.848911;120.38311;32.882145
东台6路,20,120.286278;32.838013;120.288559;32.839607;120.287743;32.840637;120.282913;32.847088;120.282867;32.84721;120.28215;32.853954;120.283882;32.853966;120.294586;32.854095;120.294807;32.854198;120.301193;32.858345;120.301361;32.858345;120.320137;32.858128;120.320251;32.858166;120.318802;32.866261;120.320198;32.866512;120.327805;32.867859;120.328461;32.868088;120.342224;32.87352;120.342842;32.872364;120.343833;32.870007
东台7路,26,120.343793;32.870028;120.342171;32.873611;120.340935;32.873108;120.325226;32.867485;120.32518;32.867378;120.330643;32.858971;120.330681;32.858849;120.330536;32.851414;120.328979;32.851406;120.310364;32.851486;120.310257;32.851555;120.310005;32.858398;120.309708;32.858402;120.301163;32.858391;120.301155;32.858387;120.294487;32.854084;120.294357;32.854076;120.260681;32.853848;120.26075;32.852005;120.260918;32.846756;120.260071;32.846779;120.251961;32.846737;120.251953;32.847412;120.251755;32.853741;120.249031;32.853729;120.211655;32.854206
东台8路,32,120.456459;32.851276;120.452934;32.851173;120.452919;32.851501;120.451942;32.867683;120.451218;32.867458;120.409721;32.859886;120.40834;32.859715;120.383003;32.858265;120.382896;32.858154;120.382225;32.848892;120.382065;32.848888;120.375992;32.848785;120.375992;32.849121;120.376076;32.857861;120.375397;32.85783;120.360382;32.856792;120.359673;32.856678;120.339012;32.851463;120.33847;32.851398;120.331184;32.85141;120.331093;32.85146;120.331024;32.85857;120.330963;32.858601;120.310356;32.858372;120.310226;32.858463;120.308495;32.864594;120.307816;32.864475;120.290848;32.862076;120.289795;32.862057;120.261604;32.86237;120.261459;32.862297;120.25985;32.859276
东台9路,25,120.343651;32.869687;120.342331;32.873566;120.34259;32.873676;120.344231;32.873451;120.343864;32.874146;120.342224;32.87352;120.342888;32.872292;120.351242;32.855255;120.351135;32.855164;120.339012;32.85146;120.33847;32.851395;120.320114;32.851437;120.320045;32.851341;120.317955;32.83292;120.316971;32.832966;120.296196;32.831348;120.295723;32.831497;120.288506;32.839565;120.286705;32.838352;120.268761;32.827351;120.268715;32.827251;120.276283;32.819973;120.276299;32.818523;120.276596;32.761311;120.274811;32.761311
丹阳10路,44,119.538612;32.017633;119.5364;32.015678;119.53643;32.015629;119.538704;32.008411;119.540848;32.009312;119.54744;32.011921;119.548225;32.01059;119.553146;32.002827;119.553207;32.002792;119.568024;31.998013;119.568443;31.997965;119.571457;31.998182;119.571365;31.998884;119.570526;32.002373;119.570694;32.00238;119.581284;32.003601;119.581314;32.003563;119.582161;31.996033;119.584251;31.995993;119.592087;31.998793;119.592094;31.99892;119.587852;32.011768;119.588272;32.011959;119.589577;32.012314;119.590721;32.012501;119.597664;32.011276;119.597519;32.010483;119.596329;32.008446;119.597168;32.008446;119.604134;32.008423;119.604134;32.008476;119.604126;32.011303;119.604843;32.011303;119.628082;32.011433;119.62838;32.011402;119.639229;32.008854;119.639824;32.008938;119.649261;32.01609;119.649719;32.016342;119.661887;32.021305;119.662074;32.021291;119.671265;32.012608;119.671261;32.012612;119.672279;32.013423
丹阳11路,34,119.658806;32.051403;119.660492;32.048008;119.660416;32.047401;119.65873;32.04324;119.657906;32.042885;119.639183;32.034019;119.638954;32.033829;119.627563;32.019985;119.627113;32.020252;119.622856;32.022484;119.622063;32.022488;119.61039;32.022747;119.610504;32.021828;119.610878;32.018478;119.61042;32.018478;119.605392;32.018517;119.60537;32.018402;119.605415;32.011471;119.605011;32.011471;119.597664;32.011444;119.597664;32.011276;119.592827;32.005402;119.593277;32.004208;119.596451;31.998247;119.59639;31.998178;119.596855;31.993637;119.596565;31.993603;119.582809;31.990377;119.582741;31.990318;119.581886;31.984404;119.580711;31.985113;119.573753;31.989431;119.573662;31.98938;119.572334;31.986032
丹阳12路,36,119.54512;32.011135;119.551598;32.013752;119.551804;32.013786;119.555695;32.013653;119.556015;32.01355;119.568222;32.007923;119.568481;32.007301;119.570091;32.003174;119.570114;32.003094;119.564301;32.00375;119.564072;32.003174;119.562683;31.999813;119.563843;31.999548;119.568443;31.997965;119.568398;31.9979;119.563339;31.988607;119.563217;31.988611;119.553375;31.986967;119.553719;31.985437;119.554214;31.983065;119.554367;31.983061;119.56279;31.984327;119.562943;31.983589;119.571472;31.982832;119.571449;31.982586;119.571053;31.96172;119.571136;31.961666;119.574661;31.961567;119.574631;31.959854;119.574348;31.947987;119.573982;31.948021;119.570717;31.948738;119.570686;31.948793;119.56971;31.953524;119.568985;31.953575;119.564835;31.953772
