年份,2010年,2011年,2012年,2014年,2015年,2016年,2017年
全年用电量,0.5,0.747815424,0.79588484,0.785171443,0.832421549,0.829203434,1
公路里程,0.5,0.580562273,0.669941556,0.811870214,0.894901249,0.94719871,1
公共绿地面积,0.5,0.555805364,0.633691987,0.743496066,0.841336117,0.924963867,1
建成区绿地面积,0.5,0.568893528,0.595575719,0.743496065,0.841336117,0.924976313,1
城镇生活污水处理率,0.5,0.595996732,0.694444444,0.824346405,0.885212418,0.955473856,1
