年份,2010年,2011年,2012年,2014年,2015年,2016年,2017年
全年用电量,0.60455893,0.5,0.809305644,0.84546048,0.883996111,0.94371127,1
公路里程,0.5,0.579575568,0.673127841,0.738703523,0.828269886,0.892380795,1
公共绿地面积,0.5,0.571383568,0.626890156,0.703452175,0.78771746,0.924310797,1
建成区绿地面积,0.5,0.548613902,0.562949381,0.710464136,0.909263645,0.941311869,1
城镇生活污水处理率,0.5,0.601950355,0.689716312,0.767389184,0.808169326,0.893275709,1
