年份,2010年,2011年,2012年,2014年,2015年,2016年,2017年
居民人均纯收入,0.5,0.558282835,0.611394771,0.678416905,0.827947334,0.880268264,1
地方一般公共预算收入,0.5,0.573502951,0.609546659,0.678165969,0.793336925,0.887598935,1
第三产业生产总值,0.5,0.566619345,0.613863961,0.726490539,0.804837497,0.878603783,1
工业企业单位数,0.863984151,0.785792974,0.695258983,0.612676762,0.612676762,0.5,1
实际外商直接投资,0.71186098,0.591811524,0.5,0.69118769,0.788942628,0.904664705,1
进出口额,0.5,0.647623265,0.692046376,0.909495181,0.879985907,0.950179688,1
