年份,2010年,2011年,2012年,2014年,2015年,2016年,2017年
公共图书馆藏图书量,0.5,0.507848895,0.635471643,0.781979547,0.818320922,0.899894949,1
在校学生数,0.5,0.552431199,0.57888337,0.671348578,0.834392638,0.962478945,1
教育支出,0.5,0.628441463,0.621900611,0.731568895,0.785193529,0.911468965,1
剧场、影剧院数,0.5,0.521374046,0.541984733,0.651145038,0.751145038,0.9,1
